Datum,Wert,Einheit
28.07. 00:15,0.0,kW
28.07. 00:30,0.0,kW
28.07. 00:45,0.0,kW
28.07. 01:00,0.0,kW
28.07. 01:15,0.0,kW
28.07. 01:30,0.0,kW
28.07. 01:45,0.0,kW
28.07. 02:00,0.0,kW
28.07. 02:15,0.0,kW
28.07. 02:30,0.0,kW
28.07. 02:45,0.0,kW
28.07. 03:00,0.0,kW
28.07. 03:15,0.0,kW
28.07. 03:30,0.0,kW
28.07. 03:45,0.0,kW
28.07. 04:00,0.0,kW
28.07. 04:15,0.0,kW
28.07. 04:30,0.0,kW
28.07. 04:45,0.0,kW
28.07. 05:00,0.0,kW
28.07. 05:15,0.0,kW
28.07. 05:30,0.0,kW
28.07. 05:45,0.0,kW
28.07. 06:00,0.0,kW
28.07. 06:15,0.0,kW
28.07. 06:30,0.03,kW
28.07. 06:45,0.24,kW
28.07. 07:00,0.38,kW
28.07. 07:15,0.39,kW
28.07. 07:30,0.47,kW
28.07. 07:45,0.61,kW
28.07. 08:00,0.76,kW
28.07. 08:15,1.05,kW
28.07. 08:30,1.3,kW
28.07. 08:45,1.37,kW
28.07. 09:00,1.38,kW
28.07. 09:15,2.43,kW
28.07. 09:30,3.53,kW
28.07. 09:45,4.2,kW
28.07. 10:00,4.96,kW
28.07. 10:15,5.3,kW
28.07. 10:30,5.41,kW
28.07. 10:45,5.96,kW
28.07. 11:00,6.64,kW
28.07. 11:15,7.14,kW
28.07. 11:30,5.96,kW
28.07. 11:45,6.92,kW
28.07. 12:00,6.82,kW
28.07. 12:15,7.48,kW
28.07. 12:30,7.26,kW
28.07. 12:45,8.4,kW
28.07. 13:00,6.17,kW
28.07. 13:15,7.11,kW
28.07. 13:30,5.42,kW
28.07. 13:45,6.22,kW
28.07. 14:00,7.51,kW
28.07. 14:15,5.29,kW
28.07. 14:30,8.32,kW
28.07. 14:45,4.34,kW
28.07. 15:00,5.28,kW
28.07. 15:15,6.48,kW
28.07. 15:30,5.15,kW
28.07. 15:45,4.13,kW
28.07. 16:00,5.11,kW
28.07. 16:15,6.24,kW
28.07. 16:30,5.04,kW
28.07. 16:45,3.22,kW
28.07. 17:00,4.35,kW
28.07. 17:15,3.1,kW
28.07. 17:30,2.05,kW
28.07. 17:45,2.37,kW
28.07. 18:00,2.86,kW
28.07. 18:15,2.62,kW
28.07. 18:30,1.86,kW
28.07. 18:45,1.98,kW
28.07. 19:00,1.16,kW
28.07. 19:15,1.57,kW
28.07. 19:30,2.0,kW
28.07. 19:45,0.79,kW
28.07. 20:00,0.55,kW
28.07. 20:15,0.73,kW
28.07. 20:30,0.49,kW
28.07. 20:45,0.36,kW
28.07. 21:00,0.19,kW
28.07. 21:15,0.08,kW
28.07. 21:30,0.01,kW
28.07. 21:45,0.0,kW
28.07. 22:00,0.0,kW
28.07. 22:15,0.0,kW
28.07. 22:30,0.0,kW
28.07. 22:45,0.0,kW
28.07. 23:00,0.0,kW
28.07. 23:15,0.0,kW
28.07. 23:30,0.0,kW
28.07. 23:45,0.0,kW
29.07. 00:00,0.0,kW
29.07. 00:15,0.0,kW
29.07. 00:30,0.0,kW
29.07. 00:45,0.0,kW
29.07. 01:00,0.0,kW
29.07. 01:15,0.0,kW
29.07. 01:30,0.0,kW
29.07. 01:45,0.0,kW
29.07. 02:00,0.0,kW
29.07. 02:15,0.0,kW
29.07. 02:30,0.0,kW
29.07. 02:45,0.0,kW
29.07. 03:00,0.0,kW
29.07. 03:15,0.0,kW
29.07. 03:30,0.0,kW
29.07. 03:45,0.0,kW
29.07. 04:00,0.0,kW
29.07. 04:15,0.0,kW
29.07. 04:30,0.0,kW
29.07. 04:45,0.0,kW
29.07. 05:00,0.0,kW
29.07. 05:15,0.0,kW
29.07. 05:30,0.0,kW
29.07. 05:45,0.0,kW
29.07. 06:00,0.0,kW
29.07. 06:15,0.0,kW
29.07. 06:30,0.03,kW
29.07. 06:45,0.11,kW
29.07. 07:00,0.18,kW
29.07. 07:15,0.23,kW
29.07. 07:30,0.25,kW
29.07. 07:45,0.55,kW
29.07. 08:00,0.79,kW
29.07. 08:15,1.36,kW
29.07. 08:30,1.61,kW
29.07. 08:45,2.05,kW
29.07. 09:00,1.96,kW
29.07. 09:15,2.35,kW
29.07. 09:30,2.73,kW
29.07. 09:45,4.29,kW
29.07. 10:00,3.19,kW
29.07. 10:15,4.36,kW
29.07. 10:30,4.39,kW
29.07. 10:45,4.97,kW
29.07. 11:00,6.19,kW
29.07. 11:15,4.33,kW
29.07. 11:30,6.08,kW
29.07. 11:45,7.26,kW
29.07. 12:00,7.66,kW
29.07. 12:15,6.91,kW
29.07. 12:30,5.4,kW
29.07. 12:45,7.83,kW
29.07. 13:00,8.51,kW
29.07. 13:15,8.68,kW
29.07. 13:30,8.48,kW
29.07. 13:45,8.71,kW
29.07. 14:00,4.33,kW
29.07. 14:15,2.41,kW
29.07. 14:30,2.66,kW
29.07. 14:45,2.52,kW
29.07. 15:00,4.77,kW
29.07. 15:15,4.78,kW
29.07. 15:30,4.21,kW
29.07. 15:45,4.95,kW
29.07. 16:00,4.08,kW
29.07. 16:15,4.36,kW
29.07. 16:30,3.67,kW
29.07. 16:45,3.79,kW
29.07. 17:00,4.32,kW
29.07. 17:15,4.69,kW
29.07. 17:30,3.87,kW
